Antonín Grund zemřel /,,,1953,"['Grund, Antonín,']",[],['nekrology']
Z korespondence dvou moravských buditelů /,,,1955,"['Gallaš, Josef Heřman Agapit,', 'Fryčaj, Tomáš,']","['korespondence', 'korespondence', 'korespondence', 'korespondence']","['články', 'korespondence']"
Poznámky k textovým změnám v Bezručově Stužkonosce modré /,,,1954,"['Bezruč, Petr,']","['textová analýza', 'textová analýza']",['studie']
Šedesát let Františka Horečky /,,,1954,"['Horečka, František,']","['česká literatura', 'česká literatura']",['články']
Ještě jednou k historii Slezských písní /,,,1953,"['Bezruč, Petr,', 'Závodský, Artur,']","['textová analýza', 'textová analýza']",['studie']
Překladatelský proces - jeho objektivní podmínky a psychologie /,,,1955,"['Bečka, Jan V.,']","['překladatelství', 'překladatelství']",['studie']
Z listáře Č. Ostravického. /,,,1953,"['Ostravický, Čeněk,', 'Rožek, Karel,', 'Prasek, Vincenc,', 'Rys, Jan,', 'Otahal, Antonín,', 'Smýkal, Josef,', 'Kubis, Adolf,']","['korespondence', 'korespondence']",['korespondence']
K literárně vědné práci nad dílem Petra Bezruče /,,,1953,"['Bezruč, Petr,']","['literární činnost', 'literární činnost']",['stati']
Petr Bezruč a Edgar Allan Poe : o dozpěv v básnickém díle P. B. /,,,1953,"['Bezruč, Petr,', 'Poe, Edgar Allan,']",['poetika'],['studie']
Čechoslav Ostravický - básník z rodu Bezručova /,,,1953,"['Ostravický, Čeněk,']","['dělnické hnutí', 'dělnické hnutí', 'dělnické hnutí']","['studie', 'biografie']"
Bezručovské mystifikace /,,,1953,"['Bezruč, Petr,']","['překladatelé', 'překladatelé']",['články']
Julius Fučík a česká jazyková kultura /,,,1953,"['Fučík, Julius,']","['jazyková kultura', 'jazyková kultura']",['články']
O jazyce Bohumila Říhy /,,,1956,"['Říha, Bohumil,']","['jazyková analýza', 'jazyková analýza']",['studie']
Janáčkovy sbory na slova Petra Bezruče /,,,1953,"['Janáček, Leoš,', 'Bezruč, Petr,']","['zhudebněná poezie', 'zhudebněná poezie']",['stati']
Rozbor uměleckého stylu /,,,1955,"['Fedorov, Andrej Venediktovič,', 'Mathesius, Bohumil,', 'Kainar, Josef,', 'Levin, Viktor Davydovič,', 'Hausenblas, Karel,', 'Trávníček, František,', 'Mukařovský, Jan,']","['stylistika', 'stylistika']",['studie']
Ivan Olbracht a česká jazyková kultura /,,,1953,"['Olbracht, Ivan,']","['jazyková kultura', 'jazyková kultura']",['články']
Moderní klasik o jazyku /,,,1954,"['Olbracht, Ivan,']","['spisovný jazyk', 'spisovný jazyk', 'spisovný jazyk']",['články']
Na okraj Závadova překladu Mickiewiczových Balad a romancí /,,,1953,"['Závada, Jaroslav,', 'Mickiewicz, Adam,']","['překlady z polštiny', 'překlady z polštiny']",['glosy']
Jazyk v Havlíčkových Obrazech z Rus /,,,1954,"['Havlíček Borovský, Karel,', 'Tobolka, Zdeněk Václav,']",['spisovná čeština'],"['články', 'polemiky']"
Nové příspěvky k slezské literatuře středověké : věnováno světlé památce přítele Adolfa Kellnera /,,,1954,"['Brack, Wenceslaus,', 'Kellner, Adolf,']","['rukopisy', 'rukopisy', 'rukopisy']",['studie']
K stykům J. V. Friče s polskou emigrací pařížskou. /,,,1954,"['Frič, Josef Václav,']","['národní obrození', 'národní obrození', 'národní obrození', 'národní obrození']",['studie']
Neznámý pseudonym Petra Bezruče z r. 1903 : k básníkovým stykům s Antonínem Mackem /,,,1954,"['Bezruč, Petr,', 'Macek, Antonín,']","['korespondence', 'korespondence', 'korespondence']",['stati']
Klicpera a Mácha : poznámky k srovnávací jazykově stylistické charakteristice /,,,1954,"['Mácha, Karel Hynek,', 'Klicpera, Václav Kliment,']","['divadlo', 'divadlo', 'divadlo', 'divadlo']",['články']
Dopisy Jana Zabranského Josefu Dobrovskému : k 200. výročí narození Josefa Dobrovského /,,,1954,"['Dobrovský, Josef,', 'Zabranský, Jan Alois,']","['korespondence', 'korespondence', 'korespondence']",['studie']
Styky Jana Winklera s Františkem Palackým /,,,1954,"['Winkler, Jan,', 'Palacký, František,']","['národní obrození', 'národní obrození']",['studie']
Václav Thám v Opavě r. 1902 /,,,1954,"['Thám, Václav,']","['divadelnictví', 'divadelnictví', 'divadelnictví', 'divadelnictví']",['zprávy']
Rukopisy v Slezské studijní knihovně v Opavě /,,,1954,[],"['rukopisy', 'rukopisy']",['zprávy']
"Příspěvek k poznání jazyka a slohu Haškových ""Osudů dobrého vojáka Švejka"" /",,,1954,"['Hašek, Jaroslav,', 'Ančík, Zdena,']","['čeština', 'čeština']",['články']
Korespondence Leopolda Jana Šeršníka s J. P. Cerronim a J. J. Czikannem /,,,1953,"['Šeršník, Leopold Jan,', 'Cerroni, Jan Petr,', 'Czikann, Jan Jakub Jindřich,']","['korespondence', 'korespondence', 'korespondence']",['studie']
Stylistické vrstvy slovníku v dílech Marie Majerové /,,,1954,"['Majerová, Marie,']","['čeština', 'čeština']",['články']
Olbrachtovo zpracování Bidpajových bajek /,,,1954,"['Olbracht, Ivan,']","['bajka', 'bajka', 'bajka', 'bajka']",['referáty']
"Husova Collecta Ad te levavi jako pramen epištolní postily br. Václava Paška, řeholního kanovníka kláštera v Rokycanech /",,,1956,"['Pašek, Václav,', 'Hus, Jan,']","['postily', 'postily']",['články']
Roudnický plankt : prof. Dr. Josefu Vašicovi k sedmdesátinám /,,,1956,"['Ryšánek, František,']","['středověké drama', 'středověké drama', 'středověké drama', 'středověké drama', 'středověké drama', 'středověké drama']",['články']
Bratrský spisovatel Jan Josquin /,,,1956,"['Josquin, Jan,', 'Solín, Václav,', 'Hostinský, Otakar,', 'Holtz, Josquin von', 'Červenka, Matěj,', 'Malíř, J.', 'Dolanský, Ladislav,']",['hudební teorie'],['články']
Rukopisný zlomek spisu br. Tůmy Přeloučského /,,,1955,"['Tůma Přeloučský,']",['fragmenty rukopisů'],['stati']
Zdeněk Nejedlý o zpěvu předhusitském a husitském /,,,1953,"['Nejedlý, Zdeněk,']","['muzikologie', 'muzikologie', 'muzikologie', 'muzikologie']",['studie']
"Komenského boj Michala s drakem : k článku Fr. R. Tichého: J. A. Komenského spisek o andělích, Listy fil. 1954, s. 76-102 /",,,1955,"['Tichý, František Rut,', 'Komenský, Jan Amos,', 'Hendrich, Josef,', 'Drabík, Mikuláš,', 'Souček, Stanislav,']","['autorství literárních děl', 'autorství literárních děl', 'autorství literárních děl']",['články']
