,0,1
Curych,47.3744489,8.5410422
Edmonton,53.5462055,-113.491241
Hamburg,53.550341,10.000654
Kolín nad Rýnem,50.938361,6.959974
Londýn,51.5073359,-0.12765
Middlesex,51.5460558,-0.2537791
Mnichov,48.1371079,11.5753822
New York,40.7127281,-74.0060152
"Norman, Oklahoma",35.2225717,-97.4394816
Obstalden,47.1171128,9.1504524
Paříž,48.8588897,2.320041
Rotterdam,51.9244424,4.47775
Scheinfeld,49.6653406,10.462567
St. Gallen,47.425618,9.3762397
Toronto,43.6534817,-79.3839347
Vídeň,48.2083537,16.3725042
Winterthur,47.4991723,8.7291498
Wuppertal,51.264018,7.1780374
Řím,41.8933203,12.4829321
Ženeva,46.2017559,6.1466014
